#{"t_start": 1670943835.536957, "env_id": "Breakout-v0"}
r,l,t
9.0,633,3144.645509
12.0,802,3147.1318
5.0,464,3148.454843
4.0,374,3149.639278
7.0,588,3225.141509
10.0,729,3227.383402
16.0,885,3230.088407
14.0,764,3232.456156
9.0,709,3234.66056
10.0,698,3236.756936
12.0,802,3239.257769
6.0,528,3240.833315
7.0,546,3242.453601
8.0,624,3244.311264
10.0,668,3246.299347
13.0,808,3248.838674
7.0,569,3250.542045
6.0,482,3251.977039
8.0,606,3328.105545
3.0,350,3329.064821
6.0,496,3330.541868
6.0,516,3332.114017
6.0,500,3333.615469
7.0,500,3335.073183
7.0,671,3337.075861
4.0,438,3338.366577
14.0,785,3340.894
10.0,655,3342.873538
8.0,643,3344.777678
7.0,535,3346.436798
3.0,334,3347.338807
4.0,382,3348.417128
11.0,756,3350.739025
14.0,765,3353.092606
9.0,630,3429.43806
7.0,552,3431.095174
1.0,248,3431.723809
4.0,384,3432.828492
11.0,811,3435.33533
8.0,620,3437.214689
16.0,740,3439.49422
7.0,521,3440.990351
3.0,365,3442.033388
8.0,581,3443.802672
10.0,525,3445.457544
8.0,568,3447.209126
20.0,855,3449.844938
9.0,605,3451.632102
10.0,671,3453.679795
6.0,525,3455.250919
7.0,543,3456.845439
8.0,629,3533.5357
13.0,812,3536.130959
8.0,553,3537.751676
7.0,566,3539.464823
12.0,857,3542.111703
5.0,424,3543.340111
13.0,827,3545.912647
9.0,686,3547.985921
6.0,455,3549.268218
10.0,688,3551.353569
10.0,698,3553.509655
8.0,604,3555.32529
6.0,516,3556.843861
3.0,341,3557.838268
8.0,656,3633.895762
8.0,604,3635.706358
9.0,671,3637.840183
6.0,518,3639.360416
13.0,673,3641.408433
7.0,572,3643.127234
11.0,800,3645.559133
8.0,634,3647.526423
9.0,617,3649.3386
8.0,595,3651.183301
8.0,688,3653.189464
7.0,567,3654.834764
13.0,657,3656.795545
10.0,696,3658.969183
9.0,682,3661.099697
7.0,532,3737.127326
6.0,546,3738.814959
4.0,365,3739.843674
8.0,587,3741.590099
9.0,483,3743.030288
15.0,811,3745.546745
12.0,617,3747.412501
8.0,559,3749.084848
6.0,511,3750.573296
12.0,825,3753.14815
6.0,457,3754.526841
8.0,577,3756.209539
7.0,525,3757.817708
4.0,404,3758.971385
11.0,740,3761.272845
12.0,841,3763.842586
7.0,544,3840.236949
7.0,525,3841.832976
8.0,589,3843.51786
5.0,431,3844.760805
10.0,748,3847.030328
8.0,583,3848.783632
6.0,450,3850.107063
4.0,407,3851.327272
8.0,587,3853.07826
9.0,648,3855.084525
12.0,720,3857.266421
8.0,565,3858.929005
16.0,858,3861.661672
11.0,726,3863.914248
5.0,437,3865.173039
12.0,795,3942.177361
10.0,732,3944.410865
6.0,559,3946.117135
9.0,668,3948.110365
10.0,662,3950.10092
3.0,323,3951.038806
5.0,487,3952.470211
12.0,603,3954.301559
9.0,700,3956.380895
9.0,623,3958.321688
12.0,715,3960.541099
8.0,646,3962.509816
9.0,481,3963.920846
11.0,781,3966.379653
8.0,621,3968.293993
12.0,751,4045.44513
9.0,635,4047.385167
6.0,505,4048.867092
9.0,668,4050.925557
16.0,872,4053.676165
11.0,687,4055.828809
12.0,816,4058.373048
6.0,476,4059.822451
8.0,621,4061.695927
2.0,282,4062.432965
4.0,401,4063.557975
10.0,733,4065.87468
9.0,622,4067.746059
10.0,686,4069.793832
10.0,687,4071.895142
20.0,929,4149.924341
14.0,714,4152.181297
9.0,658,4154.151084
6.0,465,4155.498257
5.0,439,4156.780907
8.0,615,4158.586795
7.0,558,4160.255366
12.0,794,4162.670509
6.0,472,4164.027193
8.0,593,4165.819505
9.0,675,4167.883488
20.0,979,4170.919368
19.0,1039,4174.178499
11.0,739,4251.591212
9.0,651,4253.596929
13.0,694,4255.74246
9.0,610,4257.527814
5.0,444,4258.82092
20.0,1071,4262.24637
4.0,387,4263.358094
7.0,512,4264.916214
8.0,633,4266.779942
9.0,620,4268.629443
7.0,500,4270.140726
6.0,535,4271.684876
8.0,533,4273.234469
7.0,516,4274.797422
15.0,766,4277.164784
6.0,504,4354.107386
10.0,709,4356.22137
12.0,785,4358.648551
7.0,570,4360.318056
6.0,487,4361.75296
10.0,671,4363.817743
7.0,523,4365.456746
6.0,512,4366.99897
7.0,546,4368.593066
12.0,630,4370.520894
7.0,568,4372.238145
9.0,587,4373.992171
11.0,779,4376.421808
11.0,633,4378.371823
6.0,467,4379.744437
6.0,466,4381.102956
5.0,464,4457.710336
4.0,376,4458.815018
5.0,444,4460.063757
12.0,801,4462.601063
11.0,751,4464.944613
10.0,628,4466.789769
7.0,524,4468.35877
10.0,626,4470.250908
8.0,544,4471.953855
15.0,746,4474.212162
12.0,792,4476.695511
16.0,865,4479.413339
13.0,731,4481.652503
7.0,471,4482.993322
10.0,779,4560.4796
6.0,477,4561.823958
9.0,683,4563.882977
7.0,543,4565.473305
7.0,573,4567.203502
13.0,822,4569.759963
6.0,505,4571.255109
5.0,480,4572.62003
7.0,605,4574.472538
7.0,552,4576.097024
10.0,721,4578.283377
9.0,639,4580.189376
6.0,523,4581.679052
9.0,638,4583.593741
9.0,692,4585.693799
9.0,657,4587.598389
10.0,688,4665.320316
9.0,690,4667.434101
9.0,607,4669.247032
7.0,537,4670.857478
10.0,703,4672.977399
12.0,668,4675.041034
7.0,596,4676.822329
12.0,798,4679.284683
7.0,518,4680.882246
6.0,497,4682.395934
4.0,396,4683.505402
4.0,400,4684.718461
9.0,678,4686.749094
6.0,499,4688.158093
12.0,845,4690.749419
5.0,455,4767.521014
10.0,668,4769.624205
3.0,360,4770.656707
10.0,664,4772.680582
10.0,728,4774.839297
7.0,596,4776.607373
7.0,587,4778.305829
7.0,569,4779.976696
3.0,370,4781.022414
11.0,723,4783.220665
5.0,477,4784.576835
11.0,721,4786.739655
5.0,428,4788.02693
6.0,470,4789.431639
8.0,572,4791.131618
6.0,440,4792.425834
7.0,563,4794.121127
7.0,616,4871.641134
17.0,773,4873.985805
15.0,829,4876.553492
8.0,579,4878.306924
7.0,507,4879.843502
3.0,321,4880.777178
